route_id,month,day_of_week,hour_source_time,stop_sequence,stop_code,distance_from_src,arrival_time
9847,01,1,5,1,37413,0,0.32
9847,01,1,5,2,31685,492,0.72
9847,01,1,5,3,39938,706,1.14
9847,01,1,5,4,34905,1038,1.68
9847,01,1,5,5,31446,1281,2.13
9847,01,1,5,6,36312,1737,3.5
9847,01,1,5,7,36319,2274,4.87
9847,01,1,5,8,34594,2579,5.73
9847,01,1,5,9,34595,2861,6.42
9847,01,1,5,10,35778,3122,7.06
9847,01,1,5,11,35855,3569,8.34
9847,01,1,5,12,35795,4065,9.87
9847,01,1,5,13,35846,4427,10.64
9847,01,1,5,14,34937,4636,11.19
9847,01,1,5,15,36329,4965,12
9847,01,1,5,16,36326,5266,13.11
9847,01,1,5,17,33895,5732,14.58
9847,01,1,5,18,36366,5921,15.11
9847,01,1,5,19,36368,6356,16.59
9847,01,1,5,20,31461,6637,17.79
9847,01,1,5,21,36379,7078,19.52
9847,01,1,5,22,33823,7410,20.57
9847,01,1,5,23,25274,8268,21.72
9847,01,1,5,24,21609,9653,24.54
9847,01,1,5,25,25636,10480,26.66
9847,01,1,5,26,20004,11163,28.93
9847,01,1,5,27,23017,11772,30.62
9847,01,1,5,28,20727,12137,31.85
9847,01,1,5,29,21669,12914,34.12
9847,01,1,5,30,24068,13841,38.38
9847,01,1,5,31,21564,14165,39.44
9847,01,1,5,32,21615,14794,40.87
9847,01,1,5,33,21415,15149,41.76
9847,01,1,5,34,37348,16090,43.77
9847,01,1,5,35,25956,16478,44.74
9847,01,1,5,36,25957,16793,45.37
9847,01,1,5,37,25960,17145,45.75
9847,01,1,5,38,26619,17746,47.57
9847,01,1,5,39,26621,18410,48.61
9847,01,1,5,40,21617,18738,49.3
9847,01,1,5,41,21479,19497,51.29
9847,01,1,5,42,20611,20189,52.19
9847,01,1,5,43,26656,20478,52.96
9847,01,1,5,44,22951,21104,53.88
9847,01,2,5,1,37413,0,0.72
9847,01,2,5,2,31685,492,1.08
9847,01,2,5,3,39938,706,1.58
9847,01,2,5,4,34905,1038,2.16
9847,01,2,5,5,31446,1339,2.8
9847,01,2,5,6,36312,1795,4.25
9847,01,2,5,7,36319,2332,5.61
9847,01,2,5,8,34594,2637,6.53
9847,01,2,5,9,34595,2919,7.27
9847,01,2,5,10,35778,3180,7.88
9847,01,2,5,11,35855,3627,9.08
9847,01,2,5,12,35795,4123,10.87
9847,01,2,5,13,35846,4485,11.76
9847,01,2,5,14,34937,4698,12.27
9847,01,2,5,15,36329,5035,13.27
9847,01,2,5,16,36326,5336,14.41
9847,01,2,5,17,33895,5802,16.5
9847,01,2,5,18,36366,5991,17.11
9847,01,2,5,19,36368,6426,18.67
9847,01,2,5,20,31461,6707,19.97
9847,01,2,5,21,36379,7148,21.63
9847,01,2,5,22,33823,7480,22.66
9847,01,2,5,23,25274,8338,23.88
9847,01,2,5,24,21609,9723,26.9
9847,01,2,5,25,25636,10550,29.05
9847,01,2,5,26,20004,11233,31.25
9847,01,2,5,27,23017,11842,33.01
9847,01,2,5,28,20727,12207,34.24
9847,01,2,5,29,21669,12984,36.44
9847,01,2,5,30,24068,13911,40.42
9847,01,2,5,31,21564,14235,41.43
9847,01,2,5,32,21615,14864,43.05
9847,01,2,5,33,21415,15219,43.97
9847,01,2,5,34,37348,16160,46.13
9847,01,2,5,35,25956,16548,47.01
9847,01,2,5,36,25957,16863,47.72
9847,01,2,5,37,25960,17215,48.1
9847,01,2,5,38,26619,17816,49.95
9847,01,2,5,39,26621,18480,51.09
9847,01,2,5,40,21617,18808,52.3
9847,01,2,5,41,21479,19567,53.73
9847,01,2,5,42,20611,20259,54.63
9847,01,2,5,43,26656,20548,55.47
9847,01,2,5,44,22951,21174,56.36
9847,01,3,5,1,37413,0,0.59
9847,01,3,5,2,31685,492,0.98
9847,01,3,5,3,39938,706,1.42
9847,01,3,5,4,34905,1026,2.17
9847,01,3,5,5,31446,1327,2.89
9847,01,3,5,6,36312,1721,4.63
9847,01,3,5,7,36319,2258,6.07
9847,01,3,5,8,34594,2563,7
9847,01,3,5,9,34595,2845,7.75
9847,01,3,5,10,35778,3106,8.3
9847,01,3,5,11,35855,3553,9.58
9847,01,3,5,12,35795,4040,11.95
9847,01,3,5,13,35846,4397,12.55
9847,01,3,5,14,34937,4595,13.22
9847,01,3,5,15,36329,4835,14.24
9847,01,3,5,16,36326,5145,15.4
9847,01,3,5,17,33895,5587,16.79
9847,01,3,5,18,36366,5776,17.36
9847,01,3,5,19,36368,6211,19.17
9847,01,3,5,20,31461,6492,20.32
9847,01,3,5,21,36379,6933,21.92
9847,01,3,5,22,33823,7265,23
9847,01,3,5,23,25274,8123,24.18
9847,01,3,5,24,21609,9508,27.36
9847,01,3,5,25,25636,10335,29.58
9847,01,3,5,26,20004,11018,31.57
9847,01,3,5,27,23017,11627,33.21
9847,01,3,5,28,20727,11992,34.54
9847,01,3,5,29,21669,12769,36.72
9847,01,3,5,30,24068,13696,40.4
9847,01,3,5,31,21564,14020,41.44
9847,01,3,5,32,21615,14649,43.13
9847,01,3,5,33,21415,15004,44
